"","df09CCPUB.instnm","df09CCPUB.tuitfte","df09CCPUB.inexpfte"
"1","Rio Salado College",2724,2173
"2","Arizona Western College",679,5285
"3","Cochise County Community College District",744,3140
"4","Phoenix College",1488,5044
"5","Paradise Valley Community College",1876,5299
"6","Eastern Arizona College",752,5555
"7","Yavapai College",2060,5818
"8","Pima Community College",1742,3914
"9","GateWay Community College",2394,5491
"10","Scottsdale Community College",2294,6584
"11","South Mountain Community College",982,5705
"12","Tohono O'Odham Community College",2056,8550
"13","Glendale Community College",1489,4684
"14","Mohave Community College",1568,3613
"15","Coconino Community College",2788,4025
"16","Northland Pioneer College",1245,6303
"17","Mesa Community College",1957,4701
"18","Central Arizona College",1192,6512
"19","Estrella Mountain Community College",1491,3778
"20","Chandler-Gilbert Community College",1907,4010
