Rank,Major_code,Major,Major_category,Total,Men,Women,ShareWomen,Median Income,Total (std),Men (std),Women (std),ShareWomen (std),Median Income (std)
36,3607,PHARMACOLOGY,Biology & Life Science,1762,515,1247,0.707718502,45000,-0.539865448,-0.57657108,-0.394651707,1.207471748,-0.084780466
43,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831,1667,2164,0.56486557,41000,-0.492840584,-0.522504341,-0.36309196,0.586372043,-0.388109502
48,3605,GENETICS,Biology & Life Science,3635,1761,1874,0.515543329,40000,-0.497295332,-0.518092646,-0.373072687,0.371927517,-0.463941761
49,3603,MOLECULAR BIOLOGY,Biology & Life Science,18300,7426,10874,0.59420765,40000,-0.163984727,-0.252217581,-0.063325991,0.713946304,-0.463941761
52,3606,MICROBIOLOGY,Biology & Life Science,15232,6383,8849,0.580948004,38000,-0.233715169,-0.30116863,-0.133018998,0.65629567,-0.615606279
54,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,39107,18951,20156,0.515406449,37400,0.308923133,0.28868447,0.256126101,0.371332387,-0.661105634
55,3602,BOTANY,Biology & Life Science,1329,626,703,0.52896915,37000,-0.549706805,-0.571361524,-0.413374174,0.430300652,-0.691438538
60,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,25965,10787,15178,0.584556133,35600,0.010227738,-0.094475994,0.084801762,0.671983187,-0.797603701
64,3608,PHYSIOLOGY,Biology & Life Science,22060,8422,13638,0.618223028,35000,-0.078526297,-0.20547238,0.031800661,0.818360991,-0.843103056
65,3611,NEUROSCIENCE,Biology & Life Science,13663,4944,8719,0.63814682,35000,-0.269375881,-0.36870512,-0.137493117,0.904986174,-0.843103056
69,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,10706,4747,5959,0.556603774,33500,-0.336583481,-0.377950908,-0.232482104,0.550451191,-0.956851445
71,3600,BIOLOGY,Biology & Life Science,280709,111762,168947,0.601858152,33400,5.800127279,4.6445769,5.376961729,0.747209357,-0.964434671
72,3604,ECOLOGY,Biology & Life Science,9154,3878,5276,0.576360061,33000,-0.371857812,-0.418735627,-0.255988436,0.636348091,-0.994767574
76,3609,ZOOLOGY,Biology & Life Science,8409,3050,5359,0.637293376,26000,-0.3887904,-0.457596095,-0.253131883,0.901275548,-1.525593387
19,2102,COMPUTER SCIENCE,Computers & Mathematics,128319,99743,28576,0.222695002,53000,2.336560753,4.08048998,0.545911344,-0.901326078,0.521877607
30,2105,INFORMATION SCIENCES,Computers & Mathematics,11913,9005,2908,0.244103081,45000,-0.309150416,-0.17811048,-0.337486233,-0.808247474,-0.084780466
31,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,27392,9306,0.253583302,45000,0.254170644,0.684845356,-0.117290749,-0.767029122,-0.084780466
33,3701,APPLIED MATHEMATICS,Computers & Mathematics,4939,2794,2145,0.434298441,45000,-0.467657621,-0.469610926,-0.36374587,0.018688874,-0.084780466
34,3700,MATHEMATICS,Computers & Mathematics,72397,39956,32441,0.448098678,45000,1.065548434,1.274510724,0.678930341,0.078689904,-0.084780466
35,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,2960,3291,0.526475764,45000,-0.437838084,-0.461820059,-0.324304791,0.419459843,-0.084780466
40,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,500,109,0.178981938,42000,-0.566071185,-0.577275074,-0.433817456,-1.091382878,-0.312277243
42,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,3046,1122,0.269193858,41300,-0.485181145,-0.457783827,-0.398953744,-0.699157139,-0.365359824
53,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,6607,1459,0.180882718,37500,-0.396586208,-0.290655653,-0.387355452,-1.083118617,-0.653522408
56,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,5291,2322,0.305004597,36400,-0.406882131,-0.352419393,-0.357654185,-0.543458274,-0.736937893
62,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,11431,6604,0.366176878,35000,-0.170007728,-0.064251185,-0.21028359,-0.277491835,-0.843103056
1,2419,PETROLEUM ENGINEERING,Engineering,2339,2057,282,0.120564344,110000,-0.526751216,-0.504200497,-0.427863436,-1.345372417,4.844316372
2,2416,MINING AND MINERAL ENGINEERING,Engineering,756,679,77,0.101851852,75000,-0.562730124,-0.568874079,-0.434918778,-1.426731078,2.190187306
3,2415,METALLURGICAL ENGINEERING,Engineering,856,725,131,0.153037383,73000,-0.560457294,-0.566715164,-0.433060297,-1.204185291,2.038522788
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,1123,135,0.107313196,70000,-0.551320515,-0.548035857,-0.432922632,-1.402986104,1.81102601
5,2418,NUCLEAR ENGINEERING,Engineering,2573,2200,373,0.144966965,65000,-0.521432792,-0.497489088,-0.424731553,-1.239274065,1.431864715
6,2405,CHEMICAL ENGINEERING,Engineering,32260,21239,11021,0.341630502,65000,0.153302423,0.39606702,-0.058266795,-0.384215209,1.431864715
8,2414,MECHANICAL ENGINEERING,Engineering,91227,80320,10907,0.119558903,60000,1.493522433,3.168911625,-0.062190253,-1.3497439,1.05270342
9,2401,AEROSPACE ENGINEERING,Engineering,15058,12953,2105,0.139792801,60000,-0.237669894,0.007180739,-0.365122522,-1.26177043,1.05270342
10,2408,ELECTRICAL ENGINEERING,Engineering,81527,65511,16016,0.196450256,60000,1.273057866,2.473881823,0.113642621,-1.01543367,1.05270342
11,2407,COMPUTER ENGINEERING,Engineering,41542,33258,8284,0.199412643,60000,0.364266558,0.96015394,-0.152464207,-1.002553726,1.05270342
12,5008,MATERIALS SCIENCE,Engineering,4279,2949,1330,0.310820285,60000,-0.482658303,-0.462336321,-0.391795154,-0.518172674,1.05270342
13,2404,BIOMEDICAL ENGINEERING,Engineering,14955,8407,6548,0.437846874,60000,-0.24001091,-0.206176374,-0.212210903,0.034116843,1.05270342
14,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,3526,795,0.183985189,58000,-0.481703714,-0.435256019,-0.410207874,-1.069629613,0.901038902
15,2402,BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,0.320784314,57100,-0.377062594,-0.316234101,-0.339034967,-0.474850809,0.832789869
16,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,12453,6515,0.343473218,57000,-0.148802218,-0.016285728,-0.213346641,-0.3762034,0.825206643
17,2400,GENERAL ENGINEERING,Engineering,61152,45683,15469,0.252959838,56000,0.809968635,1.543295631,0.094816905,-0.769739835,0.749374384
18,2403,ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,0.350442478,54000,-0.515705259,-0.514619609,-0.403496696,-0.34590227,0.597709866
20,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,8181,3384,0.292607004,52000,-0.317059866,-0.216783217,-0.321104075,-0.597360852,0.446045348
21,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,2020,973,0.325091881,52000,-0.511886904,-0.505937016,-0.404081773,-0.456122257,0.446045348
22,2499,MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,0.189970437,50000,-0.372335106,-0.253531703,-0.377856553,-1.043606796,0.29438083
23,2406,CIVIL ENGINEERING,Engineering,53153,41081,12072,0.227117943,50000,0.628164917,1.327310274,-0.022095264,-0.8820959,0.29438083
24,2500,ENGINEERING TECHNOLOGIES,Engineering,3600,2695,905,0.251388889,50000,-0.498090822,-0.474257286,-0.406422081,-0.776570048,0.29438083
25,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,488,232,0.322222222,50000,-0.563548343,-0.577838269,-0.429584251,-0.468599035,0.29438083
26,2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,2662,1385,0.342228811,50000,-0.48793127,-0.475806073,-0.389902258,-0.381613865,0.29438083
28,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,3477,1154,0.24919024,46000,-0.474657939,-0.437555733,-0.397852423,-0.786129391,-0.008948207
39,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,2400,506,0.174122505,44000,-0.513864267,-0.488102502,-0.420154185,-1.112510848,-0.160612725
44,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,4419,371,0.077453027,40000,-0.471044138,-0.39334491,-0.424800385,-1.532812926,-0.463941761
45,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,7043,1761,0.200022717,40000,-0.379812719,-0.270192894,-0.376961729,-0.99990123,-0.463941761
47,1401,ARCHITECTURE,Engineering,46420,25463,20957,0.451464886,40000,0.475135233,0.594311729,0.283693557,0.093325591,-0.463941761
27,6107,NURSING,Health,209394,21773,187621,0.896018988,48000,4.179258148,0.421129206,6.019651707,2.026169513,0.142716312
37,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,3916,11998,0.75392736,45000,-0.218214464,-0.416952175,-0.02464207,1.408379826,-0.084780466
41,6104,MEDICAL ASSISTING SERVICES,Health,11123,803,10320,0.927807246,42000,-0.327105778,-0.563054395,-0.082392621,2.16437933,-0.312277243
50,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,8697,14854,0.630716318,40000,-0.044638393,-0.192565823,0.073650881,0.872679643,-0.463941761
59,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386,1589,11797,0.881293889,36000,-0.275671621,-0.52616511,-0.031559747,1.962147343,-0.767270797
66,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,4266,13843,0.764426528,35000,-0.168325833,-0.400525649,0.038856002,1.454028383,-0.843103056
67,4002,NUTRITION SCIENCES,Health,18909,2563,16346,0.864456079,35000,-0.150143188,-0.480452433,0.125,1.888939474,-0.843103056
68,6110,COMMUNITY AND PUBLIC HEALTH,Health,19735,4103,15632,0.792095262,34000,-0.131369608,-0.408175717,0.100426762,1.574327226,-0.918935315
70,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,5521,7219,0.566640502,33500,-0.290354107,-0.341624818,-0.189117566,0.594089139,-0.956851445
73,6109,TREATMENT THERAPY PROFESSIONS,Health,48491,13487,35004,0.721865913,33000,0.522205555,0.032242925,0.767139317,1.26898223,-0.994767574
74,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,33599,7574,26025,0.774576624,32400,0.183735624,-0.245271507,0.458115363,1.498159235,-1.04026693
75,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,1225,37054,0.967998119,28000,0.290104096,-0.543248698,0.837692731,2.339122257,-1.373928869
7,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,832,960,0.535714286,62000,-0.539183599,-0.56169334,-0.404529185,0.45962733,1.204367938
29,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,2116,528,1588,0.75047259,46000,-0.531819628,-0.575960952,-0.382915749,1.393359087,-0.008948207
32,5007,PHYSICS,Physical Sciences,32142,23080,9062,0.281936407,45000,0.150620483,0.48247055,-0.125688326,-0.643754752,-0.084780466
38,5006,OCEANOGRAPHY,Physical Sciences,2418,752,1666,0.688999173,44700,-0.52495568,-0.565447975,-0.380231278,1.126083361,-0.107530143
46,5000,PHYSICAL SCIENCES,Physical Sciences,1436,894,542,0.377437326,40000,-0.547274876,-0.558783498,-0.418915198,-0.228533365,-0.463941761
51,5003,CHEMISTRY,Physical Sciences,66530,32923,33607,0.505140538,39000,0.932201464,0.944431408,0.719059747,0.326697991,-0.53977402
57,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,10972,5813,5159,0.470196865,36200,-0.330537752,-0.327920402,-0.260015143,0.174768978,-0.752104345
58,5005,GEOSCIENCES,Physical Sciences,1978,809,1169,0.591001011,36000,-0.534956134,-0.562772798,-0.397336178,0.700004396,-0.767270797
61,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,4043,2744,1299,0.321296067,35000,-0.488022183,-0.471957573,-0.392862059,-0.472625796,-0.843103056
63,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,62052,27015,35037,0.564639335,35000,0.83042411,0.66715164,0.768275055,0.585388413,-0.843103056
,,,Average,25515.28947,12800.76316,12714.52632,0.436929241,46118.42105,,,,,
,,,Standard Deviation,43998.00855,21307.5541,29056.01472,0.232175865,13187.22322,,,,,
